# List for free game!
# If you're using a mobile device, rotate your phone to landscape mode.
# 'CTRL + F' to search for the game name.
# Note: If the upload status shows '1', it means the game has been uploaded. If it shows '0', it hasn’t been uploaded.

# If you need a game that's not on the list, feel free to contact me on Discord and leave a request in the '#free_games_request' channel. If possible, I'll provide it.
# Discord server: https://discord.gg/3ShGjfj6je

+------------------------------------------Toxic Home-----------------------------------------+
+-------------------------------------------------------------------+---------+---------------+
| GAME NAME                                                         | APP ID  | UPLOAD STATUS |
+-------------------------------------------------------------------+---------+---------------+
|01. A Plague Tale Requiem >----------------------------------------| 1182900 |-----< 1 >-----|
|02. Fears to Fathom - Carson House >-------------------------------| 2120900 |-----< 1 >-----|
|03. Fears to Fathom - Ironbark Lookout >---------------------------| 2506160 |-----< 1 >-----|
|04. Fears to Fathom - Norwood Hitchhike >--------------------------| 1763050 |-----< 1 >-----|
|05. Fears to Fathom - Woodbury Getaway >---------------------------| 2961530 |-----< 1 >-----|
|06. Call of Duty Black Ops >---------------------------------------| 42700   |-----< 1 >-----|
|07. Call of Duty Modern Warfare Remastered (2017) >----------------| 393080  |-----< 1 >-----|
|08. Call of Duty Modern Warfare 2 (2009) >-------------------------| 10180   |-----< 1 >-----|
|09. Call of Duty Modern Warfare 3 (2011) >-------------------------| 115300  |-----< 1 >-----|
|10. Forza Horizon 5 >----------------------------------------------| 1551360 |-----< 1 >-----|
|11. Forza Horizon 4 >----------------------------------------------| 1293830 |-----< 1 >-----|
|12. A Plague Tale Innocence >--------------------------------------| 752590  |-----< 1 >-----|
|13. Outlast >------------------------------------------------------| 238320  |-----< 1 >-----|
|14. Outlast 2 >----------------------------------------------------| 414700  |-----< 1 >-----|
|15. Cities Skylines >----------------------------------------------| 255710  |-----< 1 >-----|
|16. Cities Skylines II >-------------------------------------------| 949230  |-----< 1 >-----|
|17. Far Cry 3 >----------------------------------------------------| 220240  |-----< 1 >-----|
|18. Farming Simulator 25 >-----------------------------------------| 2300320 |-----< 1 >-----|
|19. Tomb Raider: Underworld >--------------------------------------| 8140    |-----< 1 >-----|
|20. Lara Croft and the Guardian of Light >-------------------------| 35130   |-----< 1 >-----|
|21. Tomb Raider (2013) >-------------------------------------------| 203160  |-----< 1 >-----|
|22. Lara Croft and the Temple of Osiris >--------------------------| 289690  |-----< 1 >-----|
|23. Rise of the Tomb Raider >--------------------------------------| 391220  |-----< 1 >-----|
|24. Shadow of the Tomb Raider >------------------------------------| 1109290 |-----< 1 >-----|
|25. Cyberpunk 2077 >-----------------------------------------------| 1091500 |-----< 1 >-----|
|26. Indiana Jones and the Great Circle >---------------------------| 2677660 |-----< 1 >-----|
|27. Call of Duty 4 Modern Warfare >--------------------------------| 7940    |-----< 1 >-----|
|28. Call of Duty World at War >------------------------------------| 10090   |-----< 1 >-----|
|29. Call of Duty Black Ops II >------------------------------------| 202990  |-----< 1 >-----|
|30. Call of Duty: Ghosts >-----------------------------------------| 209160  |-----< 1 >-----|
|31. Call of Duty: WWII >-------------------------------------------| 476600  |-----< 1 >-----|
|32. Red Dead Redemption >------------------------------------------| 2668510 |-----< 1 >-----|
|33. Red Dead Redemption 2 >----------------------------------------| 1174180 |-----< 1 >-----|
|34. Grand Theft Auto: Vice City – The Definitive Edition >---------| 1546990 |-----< 1 >-----|
|35. Grand Theft Auto III – The Definitive Edition >----------------| 1546970 |-----< 1 >-----|
|36. Grand Theft Auto San Andreas – The Definitive Edition >--------| 1547000 |-----< 1 >-----|
|37. Grand Theft Auto V >-------------------------------------------| 271590  |-----< 1 >-----|
|38. Backrooms Escape Together >------------------------------------| 2141730 |-----< 1 >-----|
|39. The Last of Us Part I >----------------------------------------| 1888930 |-----< 1 >-----|
|40. SILENT HILL 2 >------------------------------------------------| 2124490 |-----< 1 >-----|
|41. Poppy Playtime >-----------------------------------------------| 1721470 |-----< 1 >-----|
|42. Poppy Playtime - Chapter 2 - DLC >-----------------------------| 653552  |-----< 1 >-----|
|43. Little Nightmares >--------------------------------------------| 424840  |-----< 1 >-----|
|44. Little Nightmares II >-----------------------------------------| 860510  |-----< 1 >-----|
|45. Black Myth Wukong >--------------------------------------------| 2358720 |-----< 1 >-----|
|46. Far Cry 6 >----------------------------------------------------| 5266    |-----< 1 >-----|
|47. Far Cry New Dawn >---------------------------------------------| 5211    |-----< 1 >-----|
|48. Far Cry 5 >----------------------------------------------------| 552520  |-----< 1 >-----|
|49. Far Cry Primal >-----------------------------------------------| 2010    |-----< 1 >-----|
|50. Far Cry 4 >----------------------------------------------------| 298110  |-----< 1 >-----|
|51. Far Cry 3 Blood Dragon >---------------------------------------| 233270  |-----< 1 >-----|
|52. Far Cry 2 >----------------------------------------------------| 19900   |-----< 1 >-----|
|53. Far Cry >------------------------------------------------------| 13520   |-----< 1 >-----|
|54. Stray >--------------------------------------------------------| 1332010 |-----< 1 >-----|
|55. Alan Wake >----------------------------------------------------| 108710  |-----< 1 >-----|
|56. Alan Wake's American Nightmare >-------------------------------| 202750  |-----< 1 >-----|
|57. Phasmophobia >-------------------------------------------------| 739630  |-----< 1 >-----|
|58. DEVOUR >-------------------------------------------------------| 1274570 |-----< 1 >-----|
|59. The Quarry >---------------------------------------------------| 1577120 |-----< 1 >-----|
|60. Dead by Daylight >---------------------------------------------| 381210  |-----< 1 >-----|
|61. Amnesia: The Bunker >------------------------------------------| 1944430 |-----< 1 >-----|
|62. Amnesia: Rebirth >---------------------------------------------| 999220  |-----< 1 >-----|
|63. Amnesia: The Dark Descent >------------------------------------| 57300   |-----< 1 >-----|
|64. Amnesia A Machine for Pigs >-----------------------------------| 239200  |-----< 1 >-----|
|65. Pacify >-------------------------------------------------------| 967050  |-----< 1 >-----|
|66. Layers of Fear >-----------------------------------------------| 391720  |-----< 1 >-----|
|67. Fort Solis >---------------------------------------------------| 1931730 |-----< 1 >-----|
|68. Visage >-------------------------------------------------------| 594330  |-----< 1 >-----|
|69. FATAL FRAME PROJECT ZERO Mask of the Lunar Eclipse >-----------| 2130460 |-----< 1 >-----|
|70. FATAL FRAME / PROJECT ZERO: Maiden of Black Water >------------| 1732190 |-----< 1 >-----|
|71. Dying Light >--------------------------------------------------| 239140  |-----< 1 >-----|
|72. Days Gone >----------------------------------------------------| 1259420 |-----< 1 >-----|
|73. God of War >---------------------------------------------------| 1593500 |-----< 1 >-----|
|74. DEATH STRANDING DIRECTOR'S CUT >-------------------------------| 1850570 |-----< 1 >-----|
|75. A Way Out >----------------------------------------------------| 1222700 |-----< 1 >-----|
|76. The Evil Within >----------------------------------------------| 268050  |-----< 1 >-----|
|77. The Evil Within 2 >--------------------------------------------| 601430  |-----< 1 >-----|
|78. Portal >-------------------------------------------------------| 400     |-----< 1 >-----|
|79. Portal 2 >-----------------------------------------------------| 620     |-----< 1 >-----|
|80. Dying Light 2 Stay Human Reloaded Edition >--------------------| 534380  |-----< 1 >-----|
|81. DOOM >---------------------------------------------------------| 479030  |-----< 1 >-----|
|82. DOOM + DOOM II >-----------------------------------------------| 2280    |-----< 1 >-----|
|83. DOOM Eternal >-------------------------------------------------| 782330  |-----< 1 >-----|
|84. DOOM 64 >------------------------------------------------------| 1148590 |-----< 1 >-----|
|85. Resident Evil >------------------------------------------------| 304240  |-----< 1 >-----|
|86. Resident Evil 2 >----------------------------------------------| 883710  |-----< 1 >-----|
|87. Resident Evil 3 >----------------------------------------------| 952060  |-----< 1 >-----|
|88. Resident Evil 4 >----------------------------------------------| 254700  |-----< 1 >-----|
|89. Resident Evil 5 >----------------------------------------------| 21690   |-----< 1 >-----|
|90. Resident Evil 6 >----------------------------------------------| 221040  |-----< 1 >-----|
|91. Resident Evil 0 >----------------------------------------------| 339340  |-----< 1 >-----|
|92. Resident Evil 7 Biohazard >------------------------------------| 418370  |-----< 1 >-----|
|93. Resident Evil Village >----------------------------------------| 1196590 |-----< 1 >-----|
|94. Resident Evil Revelations >------------------------------------| 222480  |-----< 1 >-----|
|95. Resident Evil Revelations 2 >----------------------------------| 287290  |-----< 1 >-----|
|96. Resident Evil Re:Verse >---------------------------------------| 1236300 |-----< 1 >-----|
|97. Avatar Frontiers of Pandora >----------------------------------| 2840770 |-----< 1 >-----|
|98. Warhammer 40,000 Space Marine 2 >------------------------------| 2183900 |-----< 1 >-----|
|99. Saints Row IV: Re-Elected >------------------------------------| 206420  |-----< 1 >-----|
|100. Motel Manager Simulator >-------------------------------------| 931225  |-----< 1 >-----|
|101. Marvel’s Spider-Man Miles Morales >---------------------------| 1817190 |-----< 1 >-----|
|102. Marvel’s Spider-Man Remastered >------------------------------| 1817070 |-----< 1 >-----|
|103. Police Simulator: Patrol Officers >---------------------------| 997010  |-----< 1 >-----|
|104. Euro Truck Simulator >----------------------------------------| 227300  |-----< 1 >-----|
|105. Euro Truck Simulator 2 >--------------------------------------| 227300  |-----< 1 >-----|
|106. Batman Arkham Asylum GOTY Edition >---------------------------| 35140   |-----< 1 >-----|
